,FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2,ID_CARGA,DOSIS_3
3,15JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,95,0,,0.0
4,15JAN2021:00:00:00,41 a 50,M,Sputnik,Público,182,0,,0.0
5,15JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,31,0,,0.0
9,15JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,48,0,,0.0
10,15JAN2021:00:00:00,51 a 60,M,Sputnik,Público,145,0,,0.0
11,15JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,12,0,,0.0
17,16JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,21,0,,0.0
18,16JAN2021:00:00:00,30 o menos,M,Sputnik,Público,68,0,,0.0
19,16JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,7,0,,0.0
23,16JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,56,0,,0.0
24,16JAN2021:00:00:00,31 a 40,M,Sputnik,Público,101,0,,0.0
25,16JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,19,0,,0.0
29,16JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,20,0,,0.0
30,16JAN2021:00:00:00,41 a 50,M,Sputnik,Público,96,0,,0.0
31,16JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,5,0,,0.0
35,16JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,16,0,,0.0
36,16JAN2021:00:00:00,51 a 60,M,Sputnik,Público,61,0,,0.0
37,16JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,5,0,,0.0
41,17JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,24,0,,0.0
42,17JAN2021:00:00:00,30 o menos,M,Sputnik,Público,25,0,,0.0
43,17JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,17,0,,0.0
47,17JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,40,0,,0.0
48,17JAN2021:00:00:00,31 a 40,M,Sputnik,Público,60,0,,0.0
49,17JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,13,0,,0.0
53,17JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,20,0,,0.0
54,17JAN2021:00:00:00,41 a 50,M,Sputnik,Público,41,0,,0.0
55,17JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,11,0,,0.0
59,17JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,10,0,,0.0
60,17JAN2021:00:00:00,51 a 60,M,Sputnik,Público,23,0,,0.0
61,17JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,1,0,,0.0
65,18JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,4,0,,0.0
66,18JAN2021:00:00:00,30 o menos,M,Sputnik,Público,16,0,,0.0
67,18JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,9,0,,0.0
71,18JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,10,0,,0.0
72,18JAN2021:00:00:00,31 a 40,M,Sputnik,Público,36,0,,0.0
73,18JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,15,0,,0.0
77,18JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,17,0,,0.0
78,18JAN2021:00:00:00,41 a 50,M,Sputnik,Público,28,0,,0.0
79,18JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,11,0,,0.0
83,18JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,10,0,,0.0
84,18JAN2021:00:00:00,51 a 60,M,Sputnik,Público,24,0,,0.0
85,18JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,9,0,,0.0
89,19JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,5,0,,0.0
90,19JAN2021:00:00:00,30 o menos,M,Sputnik,Público,14,15,,0.0
91,19JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,2,0,,0.0
94,19JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,13,0,,0.0
95,19JAN2021:00:00:00,31 a 40,M,Sputnik,Público,26,40,,0.0
96,19JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,2,0,,0.0
100,19JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,9,0,,0.0
101,19JAN2021:00:00:00,41 a 50,M,Sputnik,Público,33,50,,0.0
102,19JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,2,0,,0.0
106,19JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,9,0,,0.0
107,19JAN2021:00:00:00,51 a 60,M,Sputnik,Público,30,31,,0.0
108,19JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,1,0,,0.0
110,19JAN2021:00:00:00,61 a 70,M,Sputnik,Público,2,2,,0.0
114,20JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,3,0,,0.0
115,20JAN2021:00:00:00,30 o menos,M,Sputnik,Público,2,24,,0.0
116,20JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,2,0,,0.0
120,20JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,8,0,,0.0
121,20JAN2021:00:00:00,31 a 40,M,Sputnik,Público,13,81,,0.0
122,20JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,6,0,,0.0
126,20JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,5,0,,0.0
127,20JAN2021:00:00:00,41 a 50,M,Sputnik,Público,11,64,,0.0
