depa_nombre,muni_nombre,codigo_habilitacion,nombre_prestador,tido_codigo,nits_nit,razon_social,clpr_codigo,clpr_nombre,ese,direccion,telefono,fax,email,gerente,nivel,caracter,habilitado,fecha_radicacion,fecha_vencimiento,fecha_cierre,dv,clase_persona,naju_codigo,naju_nombre,numero_sede_principal,fecha_corte_REPS
Amazonas,LETICIA,9100100019,E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,,838000096,E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,1,Instituciones - IPS,SI,Carrera 10 NO. 13-78 Leticia (Amazonas),3203048903-3204650596,5927534-5927826,gerencia@esehospitalsanrafael-leticia-amazonas.gov.co,,2,DEPARTAMENTAL,SI,20030409,20220831,,7,JURIDICO,4,Pública,01,Fecha corte REPS: Jun 16 2022 2:33PM
Amazonas,LETICIA,9100100185,FREYA SKIN AND BODY CARE S.A.S TWO,,901438650,FREYA SKIN AND BODY CARE S.A.S TWO,1,Instituciones - IPS,,CRA.8 A No.8-56,3186435065,N/T,freya.skinandbodycare@gmail.com,,,,SI,20201221,20241220,,7,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Amazonas,LETICIA,9100100069,FUNDACION CLINICA LETICIA,,900142282,FUNDACION CLINICA LETICIA,1,Instituciones - IPS,NO,AK INTERNACIONAL No 6-05,985927718,985927918,direccion@fundacionclinicaleticia.com.co,,,,SI,20070625,20220831,,4,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Amazonas,LETICIA,9100100158,IMPROVE QUALITY REDUCE COST SAVE LIFES AUDITORES SAS (QCL AUDITORES SAS),,900784482,IMPROVE QUALITY REDUCE COST SAVE LIFES AUDITORES SAS (QCL AUDITORES SAS),1,Instituciones - IPS,,CRA. 6 No. 8 - 76,3104769842,,servisaludqcl@gmail.com,,,,SI,20161025,20230831,,5,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Amazonas,LETICIA,9100100144,"INSTITUTO PARA LA PREVENCIÓN, EL TRATAMIENTO Y REHABILITACIÓN DE LAS ENFERMEDADES INMUNOSUPRESORAS SAS - RENACERA",,900275974,"INSTITUTO PARA LA PREVENCIÓN, EL TRATAMIENTO Y REHABILITACIÓN DE LAS ENFERMEDADES INMUNOSUPRESORAS SAS - RENACERA",1,Instituciones - IPS,,CARRERA 4 No. 1 - 55 Barrio Colombia,5925096,,renaceraipsas@gmail.com,,,,SI,20151026,20220831,,3,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Amazonas,LETICIA,9100100178,Inversiones Portilla SAS,,901179619,Inversiones Portilla SAS,1,Instituciones - IPS,,Carrera9 No 11 - 39,3153635191,,nanaportilla66@hotmail.com,,,,SI,20190812,20230811,,6,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Amazonas,LETICIA,9100100168,IPS INDÍGENA MALLAMAS,,837000084,ips indígena mallamás,1,Instituciones - IPS,NO,CRA 9 No. 9-67,5925324,5925324,leticiacontacto@ipsmallamas,,1,NACIONAL,SI,20171110,20221109,,5,JURIDICO,4,Pública,01,Fecha corte REPS: Jun 16 2022 2:33PM
Amazonas,LETICIA,9100100111,IPS INDIGENA TRAPECIO AMAZONICO,,900507834,IPS INDIGENA TRAPECIO AMAZONICO,1,Instituciones - IPS,NO,CALLE 14 No.10-79,3202350593,N/T,fabiomarin@hotmail.com,,1,DEPARTAMENTAL,SI,20170804,20220831,,8,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Amazonas,LETICIA,9100100161,IPS NUEVO AMAZONAS S.A.S,,901014934,IPS NUEVO AMAZONAS S.A.S,1,Instituciones - IPS,,CRA. 10 #14-07 ED XAMMARA LC 2,3014658293,N/T,henrypo69@hotmail.com,,,,SI,20161201,20220831,,3,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
Amazonas,LETICIA,9100100088,LABORATORIO DE CLINICA HUMANA GOMEZ VASQUEZ EU,,900243862,LABORATORIO DE CLINICA HUMANA GOMEZ VASQUEZ EU,1,Instituciones - IPS,,CALLE 8 No. 9-99,592 7183,,laboratorioclinicahumanagv@hotmail.com,,,,SI,20160701,20230831,,1,JURIDICO,1,Privada,01,Fecha corte REPS: Jun 16 2022 2:33PM
